award_id,movie_id,award_type,nominations,wins,,
1,25,Academy Awards,9,3,,
2,1,Academy Awards,10,1,,
3,5,Academy Awards,7,2,,
4,49,Academy Awards,14,11,,
5,4,Academy Awards,6,5,,
6,38,Golden Globe Awards,4,1,,
7,15,Academy Awards,3,1,,
8,190,Academy Awards,4,1,,
9,167,Academy Awards,6,3,,
10,192,Academy Awards,5,2,,
11,50,Academy Awards,7,1,,
12,56,Golden Globe Awards,3,0,,
13,123,Academy Awards,5,0,,
14,191,Academy Awards,4,1,,
15,99,Academy Awards,8,2,,
16,212,Academy Awards,10,6,,
17,62,Academy Awards,3,0,,
18,,Golden Globe Awards,7,1,,
19,47,Academy Awards,5,2,,
20,18,Academy Awards,6,1,,
21,54,Academy Awards,6,2,,
22,193,Academy Awards,3,1,,
23,,Academy Awards,2,0,,
24,67,Academy Awards,4,0,,
25,468,Golden Globe Awards,3,1,,
26,198,Academy Awards,5,2,,
27,,Academy Awards,3,1,,
28,400,Academy Awards,4,1,,
29,285,Academy Awards,4,1,,
30,125,Academy Awards,6,1,,
31,160,Academy Awards,6,1,,
32,16,Academy Awards,5,0,,
33,124,Academy Awards,4,1,,
34,495,Academy Awards,5,2,,
35,,Academy Awards,7,2,,
36,,Academy Awards,10,6,,
37,129,Academy Awards,7,2,,
38,,Golden Globe Awards,5,1,,
39,,Academy Awards,8,2,,
40,288,Academy Awards,3,1,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
